objectives_score,cats_score,color_score,score
8,9,24,41
7,9,27,43
7,14,24,45
0,9,24,33
8,8,21,37
0,14,24,38
7,11,27,45
11,14,27,52
17,17,24,58
7,9,18,34
0,6,21,27
0,15,15,30
10,12,21,43
10,8,24,42
15,12,24,51
7,14,21,42
8,12,27,47
0,11,27,38
8,11,24,43
0,20,24,44
0,19,24,43
0,12,24,36
7,3,24,34
0,14,30,44
0,11,24,35
0,9,27,36
7,9,24,40
15,13,21,49
15,11,24,50
7,10,21,38
8,11,18,37
17,17,21,55
8,22,24,54
7,3,18,28
7,9,24,40
19,9,27,55
10,12,24,46
7,19,24,50
7,16,24,47
10,15,24,49
0,6,27,33
7,14,27,48
0,16,24,40
8,11,24,43
7,16,24,47
8,6,24,38
8,8,27,43
0,12,18,30
8,14,24,46
10,9,24,43
0,9,24,33
7,13,24,44
15,19,24,58
8,9,24,41
8,12,24,44
17,6,27,50
0,17,24,41
8,17,21,46
7,12,24,43
0,11,21,32
0,14,15,29
8,9,27,44
8,15,24,47
8,12,24,44
25,11,24,60
0,12,21,33
0,6,18,24
8,18,21,47
7,14,24,45
0,14,24,38
10,14,24,48
7,21,21,49
0,19,21,40
0,18,21,39
10,12,21,43
8,13,21,42
0,14,21,35
15,18,24,57
7,8,24,39
18,9,24,51
7,9,21,37
7,18,24,49
7,11,21,39
0,9,21,30
0,13,21,34
0,13,27,40
0,6,24,30
8,6,27,41
18,3,24,45
0,9,24,33
15,16,24,55
15,13,21,49
8,14,27,49
8,12,24,44
0,17,21,38
0,17,24,41
0,15,24,39
0,8,27,35
18,11,18,47
8,22,24,54
