total_score,color_score,objective_score,cat_score
27,21,0,6
24,21,0,3
24,21,0,3
32,21,0,11
24,21,0,3
28,21,7,0
30,18,7,5
24,21,0,3
33,21,7,5
34,24,7,3
29,24,0,5
24,21,0,3
27,27,0,0
33,21,7,5
32,27,0,5
28,21,0,7
23,18,0,5
35,27,0,8
24,21,0,3
24,21,0,3
21,18,0,3
24,24,0,0
27,24,0,3
24,18,0,6
34,27,7,0
27,24,0,3
15,12,0,3
33,18,7,8
24,24,0,0
35,21,7,7
23,18,0,5
39,21,15,3
30,24,0,6
34,24,7,3
35,18,17,0
24,24,0,0
35,21,11,3
27,27,0,0
36,21,7,8
27,24,0,3
27,24,0,3
27,24,0,3
31,21,7,3
37,24,7,6
24,21,0,3
21,18,0,3
31,21,7,3
22,12,10,0
33,21,7,5
40,24,7,9
31,21,7,3
37,21,7,9
21,21,0,0
36,24,7,5
21,18,0,3
33,27,0,6
34,24,7,3
33,21,7,5
42,24,7,11
31,24,7,0
31,24,7,0
37,27,7,3
29,24,0,5
37,24,7,6
28,21,7,0
26,21,0,5
41,24,7,10
26,21,0,5
27,24,0,3
23,15,0,8
31,24,7,0
33,21,0,12
30,24,0,6
25,18,7,0
21,21,0,0
37,21,0,16
36,21,0,15
30,24,0,6
20,15,0,5
37,27,7,3
24,21,0,3
29,21,0,8
37,27,7,3
21,21,0,0
36,21,7,8
27,24,0,3
29,21,0,8
28,21,7,0
21,21,0,0
31,18,7,6
27,24,0,3
43,21,11,11
24,21,0,3
24,24,0,0
34,24,7,3
46,24,7,15
34,24,7,3
21,21,0,0
34,21,7,6
35,21,8,6
33,18,7,8
30,24,0,6
37,24,7,6
18,18,0,0
29,24,0,5
34,24,7,3
34,21,0,13
47,24,7,16
34,21,7,6
27,24,0,3
32,24,0,8
33,24,0,9
30,24,0,6
26,18,0,8
24,21,0,3
31,24,7,0
30,24,0,6
28,21,7,0
37,21,0,16
29,24,0,5
41,24,7,10
30,27,0,3
31,18,10,3
24,21,0,3
27,24,0,3
33,27,0,6
21,21,0,0
34,21,7,6
21,21,0,0
28,21,7,0
27,21,0,6
30,24,0,6
32,24,0,8
24,21,0,3
23,18,0,5
37,24,0,13
35,27,0,8
30,24,0,6
34,24,10,0
30,27,0,3
28,18,7,3
28,21,7,0
21,18,0,3
29,24,0,5
31,21,7,3
31,24,7,0
34,21,7,6
36,24,7,5
24,21,0,3
21,21,0,0
49,21,17,11
36,21,7,8
21,18,0,3
24,21,0,3
40,27,0,13
24,18,0,6
39,24,7,8
24,21,0,3
24,21,0,3
28,21,0,7
31,21,7,3
37,27,7,3
