total_score,color_score,objective_score,cat_score,player
51,18,22,11,David
34,21,7,6,David
47,18,17,12,David
41,21,7,13,David
50,24,17,9,David
36,12,15,9,David
34,18,7,9,David
45,15,7	,23,David
46,18,17,11,David
45,21,17,7,David
18,18,0,0,Dragos
37,15,7,15,Dragos
48,12,25,11,Dragos
25,15,10,0,Dragos
33,15,15,3,Dragos
44,21,15,8,Dragos
38,15,18,5,Dragos
43,15,25,3,Dragos
55,24,25,6,Dragos
43,15,25,3,Dragos
18,18,0,0,Mihai
30,15,15,0,Mihai
46,21,25,0,Mihai
20,12,0,8,Mihai
35,18,17,0,Mihai
43,21,22,0,Mihai
30,12,15,3,Andrada
52,15,25,12,Bogdan
68,15,29,24,Bogdan
60,12,25,23,Bogdan
49,6,25,18,Bogdan
45,15,18,12,Cosmin
44,12,29,3,Maria
31,6,15,10,Darius
69,18,34,17,Alessia
58,12,25,21,Alessia
67,18,29,20,Alessia
62,15,34,13,Alessia
47,21,15,11,Alessia
50,6,23,21,Alessia
51,9,25,17,Alessia
50,15,22,13,Alessia
63,15,25,23,Alessia
68,18,30,20,Alessia
